interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age,health_subsidies,medicare_for_all,age_group,vote_trump,vote_Biden,race
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Female,West,Mexican,White,"$55,000 to $74,999",Some college or associate degree,CA,CA49,54,Agree,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Part-time employed,The United States,Female,South,Not Hispanic,"Black, or African American","$45,000 to $54,999",Didn't graduate from high school,GA,GA01,22,Agree,Not Asked,18-29 year olds,0,1,Black
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Donald Trump,Liberal,Part-time employed,The United States,Male,South,Not Hispanic,White,"Less than $14,999",Bachelor's degree or higher,KY,KY06,42,Agree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,Midwest,Mexican,Some other race,"$25,000 to $34,999",Bachelor's degree or higher,WI,WI04,38,Agree,Not Asked,30-44 year olds,1,0,Other
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Other:,The United States,Male,South,Not Hispanic,White,"$25,000 to $34,999",Didn't graduate from high school,NC,NC12,61,Agree,Agree,45-64 year olds,0,1,White
Hardly at all,Not registered,Was not eligible to vote,Not sure,I would not vote,Not Sure,NA,The United States,Male,South,Not Hispanic,"Black, or African American","Less than $14,999",Didn't graduate from high school,FL,,31,Not sure,Not Asked,30-44 year olds,0,0,Black
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Male,West,Not Hispanic,"Black, or African American","$15,000 to $24,999",Bachelor's degree or higher,CO,CO01,25,Agree,Not Asked,18-29 year olds,0,1,Black
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$150,000 and over",NA,NJ,NJ03,39,Agree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Moderate,Self-employed,The United States,Male,South,Not Hispanic,White,"$15,000 to $24,999",Didn't graduate from high school,LA,LA05,41,Agree,Not Asked,30-44 year olds,1,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$55,000 to $74,999",Didn't graduate from high school,IL,IL07,26,Disagree,Not Asked,18-29 year olds,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Conservative,Retired,The United States,Male,Midwest,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,OH,OH09,47,Disagree,Not Asked,45-64 year olds,0,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,MA,MA06,40,Not sure,Not Asked,30-44 year olds,1,0,White
Only now and then,Not registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Not Sure,Full-time employed,The United States,Male,South,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,FL,FL08,26,Disagree,Agree,18-29 year olds,1,0,White
Only now and then,Not registered,Was not eligible to vote,Not sure,I would not vote,Not Sure,Unemployed or temporarily on layoff,The United States,Male,South,Not Hispanic,White,NA,Didn't graduate from high school,VA,VA07,30,Agree,Not Asked,30-44 year olds,0,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$100,000 to $149,999",High school graduate,OH,OH04,36,Agree,Not Sure,30-44 year olds,0,1,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Female,South,Not Hispanic,Asian (Japanese),"$150,000 and over",Bachelor's degree or higher,FL,FL05,24,Agree,Not Asked,18-29 year olds,0,1,Asian
Most of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Liberal,Part-time employed,The United States,Male,South,Mexican,White,"$25,000 to $34,999",Some college or associate degree,TX,TX15,31,Agree,Not Asked,30-44 year olds,0,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,NY,NY12,41,Not sure,Agree,30-44 year olds,0,1,White
Some of the time,Not registered,Donald Trump,"No, I will not vote but I am eligible",Joe Biden,Liberal,Permanently disabled,The United States,Male,West,Not Hispanic,White,"$45,000 to $54,999",High school graduate,OR,OR04,38,Disagree,Agree,30-44 year olds,0,1,White
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Someone else,Not Sure,Full-time employed,The United States,Female,South,Not Hispanic,"Black, or African American","Less than $14,999",Didn't graduate from high school,TX,TX30,20,Agree,Not Asked,18-29 year olds,0,0,Black
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,Unemployed or temporarily on layoff,The United States,Male,West,Mexican,White,"Less than $14,999",Some college or associate degree,CA,CA08,62,Agree,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Very Conservative,Homemaker,The United States,Male,West,Mexican,White,"$15,000 to $24,999",Didn't graduate from high school,CA,CA16,36,Agree,Not Asked,30-44 year olds,0,1,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Self-employed,The United States,Male,West,Mexican,Some other race,"$55,000 to $74,999",Didn't graduate from high school,CA,CA41,44,Agree,Not Asked,30-44 year olds,0,1,Other
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,Midwest,Mexican,White,"$55,000 to $74,999",Some college or associate degree,IL,,45,Agree,Not Asked,45-64 year olds,0,1,White
Only now and then,Not registered,Was not eligible to vote,Not sure,I would not vote,Not Sure,Homemaker,Another country,Female,West,Not Hispanic,Asian (Asian Indian),"$100,000 to $149,999",Bachelor's degree or higher,CA,CA06,28,Not sure,Not Asked,18-29 year olds,0,0,Asian
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Female,West,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,CA,CA06,30,Agree,Not Asked,30-44 year olds,0,1,White
Hardly at all,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,South,Mexican,White,"$150,000 and over",Some college or associate degree,TX,TX28,29,Agree,Agree,18-29 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Conservative,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$45,000 to $54,999",Some college or associate degree,MI,MI01,30,Agree,Not Asked,30-44 year olds,0,1,White
Only now and then,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Conservative,Full-time employed,The United States,Male,South,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,VA,VA03,40,Agree,Not Asked,30-44 year olds,0,0,White
Hardly at all,Registered,Was not eligible to vote,"Yes, I will vote",Someone else,Very Liberal,Part-time employed,Another country,Female,Northeast,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,NJ,NJ09,21,Agree,Agree,18-29 year olds,0,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Homemaker,The United States,Female,Northeast,Not Hispanic,White,"$55,000 to $74,999",Didn't graduate from high school,NY,NY24,39,Agree,Not Asked,30-44 year olds,0,1,White
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Student,The United States,Female,South,Not Hispanic,"Black, or African American",NA,High school graduate,TN,TN09,23,Agree,Not Asked,18-29 year olds,0,1,Black
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Male,Midwest,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,IL,IL13,63,Not sure,Not Sure,45-64 year olds,0,1,White
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,Homemaker,The United States,Female,South,Not Hispanic,White,"$35,000 to $44,999",Didn't graduate from high school,TN,TN07,47,Agree,Agree,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,Another country,Male,South,Not Hispanic,Asian (Filipino),"$100,000 to $149,999",Bachelor's degree or higher,MD,MD04,55,Agree,Not Asked,45-64 year olds,0,1,Asian
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Not Sure,Part-time employed,The United States,Male,Northeast,Not Hispanic,American Indian or Alaska Native,"$15,000 to $24,999",High school graduate,NY,NY21,46,Not sure,Not Asked,45-64 year olds,0,0,Native
Only now and then,Registered,Don't recall,"Yes, I will vote",I am not sure/don't know,Very Liberal,Full-time employed,The United States,Male,Midwest,Not Hispanic,"Black, or African American",NA,Some college or associate degree,MI,MI14,33,Agree,Agree,30-44 year olds,0,0,Black
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Part-time employed,The United States,Female,Northeast,Not Hispanic,White,"Less than $14,999",Some college or associate degree,NH,NH01,29,Agree,Not Asked,18-29 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,Male,West,Not Hispanic,White,"$35,000 to $44,999",Didn't graduate from high school,WY,WY00,34,Agree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Female,South,Cuban,"Black, or African American","$100,000 to $149,999",Some college or associate degree,FL,FL10,40,Not sure,Not Asked,30-44 year olds,0,1,Black
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,Another country,Female,South,Mexican,White,"$75,000 to $99,999",Some college or associate degree,GA,GA05,27,Agree,Agree,18-29 year olds,0,1,White
Some of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,"Black, or African American","$35,000 to $44,999",Didn't graduate from high school,TX,TX12,36,Agree,Agree,30-44 year olds,0,1,Black
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Male,West,Not Hispanic,White,"$45,000 to $54,999",Bachelor's degree or higher,AZ,AZ09,29,Agree,Not Asked,18-29 year olds,0,1,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Permanently disabled,The United States,Male,South,Not Hispanic,Some other race,"Less than $14,999",High school graduate,VA,VA06,38,Not sure,Not Asked,30-44 year olds,1,0,Other
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Very Conservative,Permanently disabled,The United States,Male,South,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,VA,VA09,61,Agree,Disagree,45-64 year olds,1,0,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,Female,South,Mexican,White,"$75,000 to $99,999",Some college or associate degree,TX,,49,Agree,Not Asked,45-64 year olds,1,0,White
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Joe Biden,Not Sure,Full-time employed,The United States,Female,Midwest,Mexican,White,"Less than $14,999",Didn't graduate from high school,OH,OH04,45,Not sure,Not Asked,45-64 year olds,0,1,White
Most of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,White,"$15,000 to $24,999",Didn't graduate from high school,OK,OK01,22,Agree,Not Asked,18-29 year olds,0,1,White
Some of the time,Not registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Very Liberal,Student,The United States,Female,South,Not Hispanic,"Black, or African American","$15,000 to $24,999",High school graduate,AL,AL07,21,Disagree,Not Sure,18-29 year olds,0,1,Black
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Male,South,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,KY,KY05,60,Agree,Disagree,45-64 year olds,1,0,White
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Donald Trump,Moderate,Unemployed or temporarily on layoff,The United States,Male,South,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,WV,WV03,23,Agree,Not Asked,18-29 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Very Conservative,Full-time employed,The United States,Male,West,Mexican,White,"$55,000 to $74,999",Some college or associate degree,CA,CA21,44,Agree,Not Asked,30-44 year olds,0,0,White
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,Another country,Male,West,Not Hispanic,Asian (Chinese),"$100,000 to $149,999",Bachelor's degree or higher,CA,CA14,38,Agree,Not Asked,30-44 year olds,0,1,Asian
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,Another country,Female,Northeast,Not Hispanic,Asian (Asian Indian),"$150,000 and over",Bachelor's degree or higher,NY,NY10,28,Agree,Not Asked,18-29 year olds,0,1,Asian
Most of the time,Registered,Gary Johnson,"Yes, I will vote",I am not sure/don't know,Moderate,Homemaker,The United States,Female,Midwest,Not Hispanic,"Black, or African American","$45,000 to $54,999",Some college or associate degree,OH,OH12,37,Agree,Not Asked,30-44 year olds,0,0,Black
Only now and then,Not registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Not Sure,Homemaker,The United States,Female,Northeast,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,NY,NY23,56,Agree,Agree,45-64 year olds,1,0,White
Only now and then,Not registered,"Did not vote, but was eligible",Not sure,Someone else,Moderate,Homemaker,The United States,Female,Northeast,Not Hispanic,White,"$75,000 to $99,999",Didn't graduate from high school,PA,PA01,30,Agree,Not Sure,30-44 year olds,0,0,White
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,South,Colombian,White,"$45,000 to $54,999",Some college or associate degree,TX,TX04,36,Agree,Not Sure,30-44 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,Male,Midwest,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,MO,MO05,57,Agree,Agree,45-64 year olds,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Male,Northeast,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,PA,PA12,63,Agree,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Permanently disabled,The United States,Female,Midwest,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,IL,IL02,47,Agree,Agree,45-64 year olds,0,1,White
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Moderate,Homemaker,Another country,Female,South,Mexican,White,"Less than $14,999",Didn't graduate from high school,FL,FL17,37,Not sure,Not Asked,30-44 year olds,0,0,White
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,Unemployed or temporarily on layoff,The United States,Female,Midwest,Not Hispanic,White,"Less than $14,999",Some college or associate degree,IA,IA01,28,Agree,Agree,18-29 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Self-employed,Another country,Female,South,Mexican,Some other race,"Less than $14,999",Didn't graduate from high school,TX,,49,Agree,Not Sure,45-64 year olds,1,0,Other
Most of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Not Sure,Student,The United States,Female,Midwest,Not Hispanic,"Black, or African American","$35,000 to $44,999",Didn't graduate from high school,WI,WI01,19,Not sure,Not Asked,18-29 year olds,0,0,Black
Hardly at all,Registered,Hillary Clinton,"Yes, I will vote",Someone else,Not Sure,Full-time employed,The United States,Female,West,Not Hispanic,White,"$15,000 to $24,999",Didn't graduate from high school,AZ,AZ09,30,Agree,Not Sure,30-44 year olds,0,0,White
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Someone else,Moderate,Unemployed or temporarily on layoff,The United States,Male,West,Mexican,Some other race,"Less than $14,999",High school graduate,NM,NM01,33,Not sure,Not Sure,30-44 year olds,0,0,Other
Some of the time,Registered,Don't recall,"No, I am not eligible to vote",I would not vote,Liberal,Part-time employed,The United States,Male,West,Not Hispanic,"Black, or African American","$45,000 to $54,999",Some college or associate degree,NV,NV02,35,Agree,Not Asked,30-44 year olds,0,0,Black
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Male,South,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,GA,GA07,52,Agree,Disagree,45-64 year olds,1,0,White
Some of the time,Registered,"Did not vote, but was eligible",Not sure,Someone else,Conservative,Permanently disabled,The United States,Male,Northeast,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,MA,MA02,38,Agree,Not Asked,30-44 year olds,0,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Female,Northeast,Not Hispanic,White,"$35,000 to $44,999",Bachelor's degree or higher,NY,NY04,69,Agree,Not Asked,65 years and older,0,1,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Student,The United States,Male,South,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,TX,TX05,24,Not sure,Not Asked,18-29 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,Full-time employed,The United States,Male,West,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,WA,WA06,66,Agree,Disagree,65 years and older,1,0,White
Hardly at all,Registered,"Did not vote, but was eligible","No, I am not eligible to vote",Joe Biden,Very Conservative,Retired,The United States,Male,Midwest,Not Hispanic,White,"Less than $14,999",High school graduate,IL,IL17,30,Agree,Not Sure,30-44 year olds,0,1,White
Some of the time,Not registered,Was not eligible to vote,Not sure,I am not sure/don't know,Moderate,Student,The United States,Female,South,Not Hispanic,White,"$15,000 to $24,999",Didn't graduate from high school,TN,TN04,20,Not sure,Not Asked,18-29 year olds,0,0,White
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Permanently disabled,The United States,Male,West,Not Hispanic,White,"Less than $14,999",Some college or associate degree,AZ,,28,Agree,Not Asked,18-29 year olds,0,1,White
Hardly at all,Registered,Hillary Clinton,Not sure,I am not sure/don't know,Not Sure,Part-time employed,The United States,Male,South,Not Hispanic,White,"Less than $14,999",High school graduate,NC,NC06,52,Agree,Not Asked,45-64 year olds,0,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Unemployed or temporarily on layoff,The United States,Male,South,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,LA,LA05,58,Agree,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,West,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,AZ,AZ08,35,Agree,Not Asked,30-44 year olds,1,0,White
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Conservative,Full-time employed,The United States,Female,South,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,VA,,45,Agree,Not Asked,45-64 year olds,0,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Male,Northeast,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,NY,NY22,64,Disagree,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Conservative,Student,The United States,Female,West,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,CO,CO02,39,Agree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Moderate,Permanently disabled,The United States,Male,South,Not Hispanic,"Black, or African American","$35,000 to $44,999",Some college or associate degree,AL,AL07,51,Agree,Not Asked,45-64 year olds,0,1,Black
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Male,South,Not Hispanic,"Black, or African American","$35,000 to $44,999",Some college or associate degree,NC,NC10,63,Agree,Not Asked,45-64 year olds,0,1,Black
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,NY,NY13,54,Agree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,South,Peruvian,White,"$45,000 to $54,999",Bachelor's degree or higher,FL,FL11,24,Agree,Not Asked,18-29 year olds,0,1,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Homemaker,The United States,Male,Midwest,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,MI,MI04,54,Agree,Not Asked,45-64 year olds,1,0,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,Some other race,NA,Some college or associate degree,FL,FL12,31,Not sure,Disagree,30-44 year olds,1,0,Other
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Conservative,Full-time employed,The United States,Male,West,Not Hispanic,"Black, or African American","Less than $14,999",Didn't graduate from high school,CA,CA13,37,Agree,NA,30-44 year olds,0,1,Black
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,NA,Retired,The United States,Male,Midwest,Not Hispanic,White,"$35,000 to $44,999",Some college or associate degree,MI,MI02,67,Agree,Not Asked,65 years and older,0,1,White
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I am not sure/don't know,Not Sure,Unemployed or temporarily on layoff,The United States,Male,Northeast,Not Hispanic,White,"$45,000 to $54,999",Didn't graduate from high school,PA,PA16,29,Agree,Not Asked,18-29 year olds,0,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,Male,West,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,MT,MT00,64,Agree,Disagree,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Retired,The United States,Male,West,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,NV,NV01,70,Agree,Not Asked,65 years and older,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Someone else,Liberal,Full-time employed,The United States,Male,South,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,TX,TX31,33,Agree,Agree,30-44 year olds,0,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$45,000 to $54,999",Didn't graduate from high school,PA,PA17,45,Agree,Not Asked,45-64 year olds,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Permanently disabled,The United States,Female,South,Not Hispanic,White,"$15,000 to $24,999",Didn't graduate from high school,VA,VA09,46,Agree,Not Asked,45-64 year olds,1,0,White
Most of the time,Not registered,Donald Trump,"No, I am not eligible to vote",Donald Trump,Moderate,Retired,The United States,Male,South,Mexican,White,"$15,000 to $24,999",Didn't graduate from high school,TX,TX05,91,Agree,Not Asked,65 years and older,1,0,White
Some of the time,Not registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Very Liberal,Student,The United States,Male,West,Not Hispanic,Asian (Asian Indian),"$100,000 to $149,999",Didn't graduate from high school,WA,WA01,18,Agree,Not Asked,18-29 year olds,0,1,Asian
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Homemaker,The United States,Female,South,Not Hispanic,White,"Less than $14,999",Some college or associate degree,AL,AL03,35,Not sure,Not Asked,30-44 year olds,1,0,White
Only now and then,Not registered,Someone else:,"No, I will not vote but I am eligible",I am not sure/don't know,Not Sure,Full-time employed,The United States,Male,South,Mexican,Some other race,"$25,000 to $34,999",Didn't graduate from high school,FL,FL09,39,Agree,Not Asked,30-44 year olds,0,0,Other
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,Full-time employed,The United States,Female,South,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,DE,DE00,40,Agree,Not Sure,30-44 year olds,0,1,White
Most of the time,Not registered,"Did not vote, but was eligible",Not sure,Donald Trump,Not Sure,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$15,000 to $24,999",Didn't graduate from high school,PA,PA09,50,Disagree,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,TN,TN03,40,Disagree,Not Asked,30-44 year olds,1,0,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Liberal,Student,Another country,Male,South,Not Hispanic,"Black, or African American","Less than $14,999",Bachelor's degree or higher,NC,NC08,31,Agree,Not Asked,30-44 year olds,0,0,Black
Hardly at all,Don't know,Was not eligible to vote,Not sure,Donald Trump,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,SC,SC06,29,Agree,Not Asked,18-29 year olds,1,0,White
Most of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Moderate,Permanently disabled,The United States,Male,South,Not Hispanic,White,"Less than $14,999",Bachelor's degree or higher,LA,LA06,62,Disagree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Someone else,Moderate,Full-time employed,The United States,Male,West,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,CA,CA28,32,Disagree,Not Asked,30-44 year olds,0,0,White
Hardly at all,Registered,"Did not vote, but was eligible",Not sure,Joe Biden,Liberal,Unemployed or temporarily on layoff,The United States,Male,Midwest,Not Hispanic,White,"$55,000 to $74,999",Didn't graduate from high school,IA,IA03,24,Not sure,Agree,18-29 year olds,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,NA,Full-time employed,The United States,Female,South,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,TX,TX20,28,Agree,Disagree,18-29 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Female,Midwest,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,WI,WI02,63,Agree,Not Sure,45-64 year olds,1,0,White
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,"Black, or African American","$35,000 to $44,999",Some college or associate degree,TX,TX02,33,Disagree,Not Asked,30-44 year olds,0,1,Black
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,South,Not Hispanic,White,"$35,000 to $44,999",Bachelor's degree or higher,AR,AR03,24,Disagree,Not Asked,18-29 year olds,1,0,White
