interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age,health_subsidies,medicare_for_all,age_group,vote_trump,vote_Biden,race
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Part-time employed,The United States,Female,South,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,GA,GA06,69,Agree,Disagree,65 years and older,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,Female,Northeast,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,PA,PA12,33,Agree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Female,Northeast,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,NJ,NJ09,70,Disagree,Not Asked,65 years and older,0,1,White
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,Female,South,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,VA,VA05,32,Disagree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Female,South,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,SC,SC01,77,Agree,Not Asked,65 years and older,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Female,South,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,TX,TX01,65,Not sure,Not Asked,65 years and older,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Part-time employed,The United States,Female,South,Not Hispanic,"Black, or African American","Less than $14,999",Some college or associate degree,FL,FL23,22,Agree,Agree,18-29 year olds,0,1,Black
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Moderate,Permanently disabled,The United States,Female,Northeast,Not Hispanic,White,"$15,000 to $24,999",Didn't graduate from high school,NY,NY22,47,Disagree,Not Asked,45-64 year olds,0,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Female,West,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,AZ,AZ02,63,Not sure,Disagree,45-64 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$45,000 to $54,999",Bachelor's degree or higher,IL,IL02,79,Agree,Agree,65 years and older,0,1,White
